#{"t_start": 1788592621.5564365, "env_id": "None"}
r,l,t
5.685789,41,16.100053
5.346322,58,16.120628
5.828938,48,16.213021
5.508281,55,16.243495
6.00939,50,16.253618
-8.841918,39,16.263781
-8.307093,19,16.275689
5.17829,51,16.301834
5.496085,63,16.324043
4.977119,57,16.346595
5.341495,61,16.367214
5.514368,63,16.38779
5.569693,54,16.494182
6.440458,42,16.514893
6.466957,42,16.525054
-6.78979,50,16.545563
-7.101845,57,16.56582
5.660091,49,16.586316
6.029192,53,16.607049
-6.839365,46,16.627494
-10.173532,39,16.643301
6.711602,16,16.647886
-6.651076,43,16.660494
5.751152,42,16.673889
6.578552,42,16.781884
5.593844,47,16.791254
-6.121907,24,16.801798
6.913178,28,16.812255
6.501121,43,16.833231
-7.751793,42,16.853733
6.083889,49,16.874521
-6.863221,51,16.900621
5.723388,47,16.916179
6.200836,51,16.94373
6.239853,43,16.957536
-7.573531,51,16.967682
5.524839,60,17.069901
5.548739,61,17.088881
5.492115,69,17.111149
6.509941,39,17.121593
5.735704,46,17.142007
5.869958,54,17.152173
5.787457,43,17.176823
5.033182,58,17.193727
5.899944,38,17.204162
6.370397,33,17.214511
-8.499727,21,17.214511
4.626763,81,17.348683
-6.921206,44,17.37516
6.5136,31,17.38932
5.894013,57,17.413964
5.974209,50,17.444064
6.270204,41,17.461795
5.854253,43,17.472089
6.311567,32,17.482495
5.762854,59,17.502894
-7.127658,48,17.513152
5.709285,61,17.607072
-6.537765,42,17.626234
4.847329,67,17.668836
6.304961,38,17.679361
5.659453,50,17.702454
6.020317,37,17.720632
6.028076,54,17.745092
5.402829,53,17.76181
6.375306,40,17.782308
6.104373,39,17.793468
6.358372,42,17.802922
-9.226068,37,17.901202
6.163186,43,17.915551
6.687642,35,17.925667
6.131583,51,17.94019
5.708539,55,17.956379
4.994573,55,17.966774
-7.868446,49,17.991044
5.902596,57,18.028019
5.839207,46,18.040285
5.45906,53,18.06923
-7.188172,57,18.089764
